ObsID,National_Station_Identifier,StationName,Provider ID,Country code,StationLon,StationLat,Height,DrainingArea.km2.Provider,River,Catchment,EC_Catchments,Calibration ID,DrainingArea.km2.LDD,LisfloodX,LisfloodY,RealTime,PostProcess,FixedRepPoint,LSFCalib,HasWL,HasD,Alive,HasRTWL,HasRTD,HasHWL,HasHD,Exclude,EC_calib,CAL_TYPE,ModelFile,MdlStep,version__origin__name,version__version,station_id,drainage_area,lon_provided,lat_provided,drainage_area_provided,to_calibrate,valid_for_origin,legend,comments
44,26500150,Ruwer,1004,DE,6.70427,49.783015,121,23883,Moselle,Rhine,Rhine,-,23885.2,6.69167,49.775,FALSE,FALSE,FALSE,FALSE,1,0,1,1,0,1,0,0,0,,,,EFAS,17,44,,,,,,,,
45,23900200,Worms,1004,DE,8.377548,49.631858,84.16,68936,Rhine,Rhine,Rhine,C204,68989.6,8.375,49.625,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_45.pickle,6,EFAS,17,45,,,,,,,,
46,2790020,Emmerich,1004,DE,6.245604,51.829213,8,159555,Rhine,Rhine,Rhine,-,159367.2,6.25833,51.825,TRUE,TRUE,TRUE,FALSE,1,1,1,1,1,1,1,0,0,,ID_46.pickle,6,EFAS,17,46,,,,,,,,
47,2770010,Ruhrort,1004,DE,6.727942,51.455309,16.09,153176,Rhine,Rhine,Rhine,-,153711.1,6.725,51.45833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_47.pickle,6,EFAS,17,47,,,,,,,,
48,2790010,Rees,1004,DE,6.395703,51.756915,8.73,159683,Rhine,Rhine,Rhine,-,159320.3,6.39167,51.75833,TRUE,TRUE,TRUE,FALSE,1,1,1,1,1,1,1,0,0,,ID_48.pickle,6,EFAS,17,48,,,,,,,,
49,25100100,Mainz,1004,DE,8.275352,50.003966,80.4,98206,Rhine,Rhine,Rhine,C333,98470.5,8.275,50.00833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_49.pickle,6,EFAS,17,49,,,,,,,,
50,25900700,Koblenz,1004,DE,7.60477,50.358608,57.67,109806,Rhine,Rhine,Rhine,-,109987.4,7.59167,50.34167,FALSE,FALSE,TRUE,TRUE,1,0,1,1,0,1,1,0,1,24,ID_50.pickle,24,EFAS,17,50,,,,,,,,
51,26400220,St.Arnual,1004,DE,7.022796,49.214863,183.25,3945,Saar,Rhine,Rhine,-,3899.6,7.025,49.20833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_51.pickle,6,EFAS,17,51,,,,,,,,
52,23300900,Kehl-Kronenhof,1004,DE,7.80669287,48.56336352,133,39330,Rhine,Rhine,Rhine,-,42841.3,7.80833,48.55833,TRUE,TRUE,TRUE,FALSE,1,1,1,1,1,1,1,0,0,,ID_52.pickle,6,EFAS,17,52,,,,,,,,
53,25800500,Diez Hafen,1004,DE,8.004968,50.371941,101.26,4907,Lahn,Rhine,Rhine,-,4864,8.00833,50.39167,TRUE,TRUE,TRUE,FALSE,1,1,1,1,1,1,1,0,0,,ID_53.pickle,6,EFAS,17,53,,,,,,,,
54,2770040,Wesel,1004,DE,6.606833,51.646106,11.2,154528,Rhine,Rhine,Rhine,-,154180.9,6.59167,51.625,TRUE,TRUE,TRUE,FALSE,1,1,1,1,1,1,1,0,0,,ID_54.pickle,6,EFAS,17,54,,,,,,,,
55,25300200,Bingen,1004,DE,7.899702,49.970312,76.18,99090,Rhine,Rhine,Rhine,-,99293.3,7.90833,49.975,FALSE,FALSE,FALSE,FALSE,1,0,1,1,0,1,0,0,0,,,,EFAS,17,55,,,,,,,,
56,25100300,Oestrich,1004,DE,8.030081,50.002836,77.56,98600,Rhine,Rhine,Rhine,-,98811.3,8.04167,50.00833,FALSE,FALSE,FALSE,FALSE,1,0,1,1,0,1,0,0,0,,,,EFAS,17,56,,,,,,,,
